"Module","Gene"
"turquoise","LOC119691921"
"turquoise","LOC125488595"
"turquoise","LOC105390613"
"turquoise","LOC105393776"
"turquoise","LOC119692498"
"turquoise","LOC105384105"
"turquoise","LOC105393924"
"turquoise","LOC105387108"
"turquoise","LOC125491367"
"turquoise","LOC105393867"
"turquoise","LOC125491443"
"turquoise","LOC105389057"
"turquoise","LOC105394373"
"turquoise","LOC105385091"
"turquoise","LOC105398590"
"turquoise","LOC125489316"
"turquoise","LOC119693462"
"turquoise","LOC105382424"
"turquoise","LOC125489043"
"turquoise","LOC105391655"
"turquoise","LOC105382507"
"turquoise","LOC105387887"
"turquoise","LOC105380032"
"turquoise","LOC105380038"
"turquoise","LOC105380039"
"turquoise","LOC105380040"
"turquoise","LOC105380091"
"turquoise","LOC105380042"
"turquoise","LOC105384472"
"turquoise","LOC105384471"
"turquoise","LOC119693523"
"turquoise","LOC105394922"
"turquoise","LOC105380157"
"turquoise","LOC105380119"
"turquoise","LOC105388180"
"turquoise","LOC105388171"
"turquoise","LOC125488941"
"turquoise","LOC105388115"
"turquoise","LOC105393083"
"turquoise","LOC105393080"
"turquoise","LOC125488889"
"turquoise","LOC105381090"
"turquoise","LOC119693442"
"turquoise","LOC105396378"
"turquoise","LOC105387751"
"turquoise","LOC105384797"
"turquoise","LOC105391047"
"turquoise","LOC105386654"
"turquoise","LOC105386652"
"turquoise","LOC105386643"
"turquoise","LOC125490584"
"turquoise","LOC105385936"
"turquoise","LOC105393762"
"turquoise","LOC105393757"
"turquoise","LOC105383723"
"turquoise","LOC119694455"
"turquoise","LOC105387797"
"turquoise","LOC105385871"
"turquoise","LOC105385885"
"turquoise","LOC105385893"
"turquoise","LOC105385900"
"turquoise","LOC119694577"
"turquoise","LOC105387330"
"turquoise","LOC105391805"
"turquoise","LOC105386149"
"turquoise","LOC105398531"
"turquoise","LOC105398477"
"turquoise","LOC105398458"
"turquoise","LOC105398425"
"turquoise","LOC125490068"
"turquoise","LOC105394553"
"turquoise","LOC105397491"
"turquoise","LOC105386324"
"turquoise","LOC105397898"
"turquoise","LOC125488536"
"turquoise","LOC105397938"
"turquoise","LOC105397906"
"turquoise","LOC119694594"
"turquoise","LOC105389732"
"turquoise","LOC119694537"
"turquoise","LOC105387205"
"turquoise","LOC105385163"
"turquoise","LOC105384377"
"turquoise","LOC105384356"
"turquoise","LOC105381794"
"turquoise","LOC105385559"
"turquoise","LOC105394304"
"turquoise","LOC119694500"
"turquoise","LOC105391838"
"turquoise","LOC105386411"
"turquoise","LOC125491346"
"turquoise","LOC105394103"
"turquoise","LOC125491463"
"turquoise","LOC105390208"
"turquoise","LOC105383840"
"turquoise","LOC105383839"
"turquoise","LOC105392015"
"turquoise","LOC105391536"
"turquoise","LOC105395129"
"turquoise","LOC105388698"
"turquoise","LOC125491457"
"turquoise","LOC105396981"
"turquoise","LOC125491387"
"turquoise","LOC105396754"
"turquoise","LOC105398314"
"turquoise","LOC105389312"
"turquoise","LOC105389293"
"turquoise","LOC105389307"
"turquoise","LOC105389273"
"turquoise","LOC105392372"
"turquoise","LOC105385293"
"turquoise","LOC105385716"
"turquoise","LOC105389469"
"turquoise","LOC105385931"
"turquoise","LOC105388348"
"turquoise","LOC105397949"
"turquoise","LOC105393017"
"turquoise","LOC119692448"
"turquoise","LOC105393093"
"turquoise","LOC105393635"
"turquoise","LOC119692453"
"turquoise","LOC105393652"
"turquoise","LOC105382571"
"turquoise","LOC105382581"
"turquoise","LOC105382587"
"turquoise","LOC105387530"
"turquoise","LOC105387126"
"turquoise","LOC105385573"
"turquoise","LOC105386344"
"turquoise","LOC119692423"
"turquoise","LOC119692399"
"turquoise","LOC119692449"
"turquoise","LOC119692349"
"turquoise","LOC105395100"
"turquoise","LOC105382208"
"turquoise","LOC105382253"
"turquoise","LOC105382215"
"turquoise","LOC105396390"
"turquoise","LOC125488603"
"turquoise","LOC105395636"
"turquoise","LOC105389757"
"turquoise","LOC125488688"
"turquoise","LOC105382045"
"turquoise","LOC105382074"
"turquoise","LOC119694160"
"turquoise","LOC119694181"
"turquoise","LOC105384076"
"turquoise","LOC119694222"
"turquoise","LOC125488636"
"turquoise","LOC125488635"
"turquoise","LOC119694118"
"turquoise","LOC105383858"
"turquoise","LOC119694164"
"turquoise","LOC105390938"
"turquoise","LOC105387858"
"turquoise","LOC105381012"
"turquoise","LOC119694146"
"turquoise","LOC119694147"
"turquoise","LOC105393567"
"turquoise","LOC105393560"
"turquoise","LOC119694230"
"turquoise","LOC105389084"
"turquoise","LOC105389083"
"turquoise","LOC105391460"
"turquoise","LOC105394617"
"turquoise","LOC119690911"
"turquoise","LOC105398792"
"turquoise","LOC105398802"
"turquoise","LOC105398810"
"turquoise","LOC119690781"
"turquoise","LOC105380034"
"turquoise","LOC105380495"
"turquoise","LOC105380075"
"turquoise","LOC119690862"
"turquoise","LOC105397840"
"turquoise","LOC105382636"
"turquoise","LOC105382641"
"turquoise","LOC105382663"
"turquoise","LOC125488769"
"turquoise","LOC105383392"
"turquoise","LOC105383385"
"turquoise","LOC105383380"
"turquoise","LOC105390569"
"turquoise","LOC105390517"
"turquoise","LOC105398294"
"turquoise","LOC105390917"
"turquoise","LOC125488758"
"turquoise","LOC105393149"
"turquoise","LOC105393146"
"turquoise","LOC105382600"
"turquoise","LOC105396270"
"turquoise","LOC105380261"
"turquoise","LOC119690851"
"turquoise","LOC105393319"
"turquoise","LOC105384338"
"turquoise","LOC125488900"
"turquoise","LOC105392028"
"turquoise","LOC105391849"
"turquoise","LOC105393288"
"turquoise","LOC105383748"
"turquoise","LOC105382529"
"turquoise","LOC105382527"
"turquoise","LOC105382523"
"turquoise","LOC119692987"
"turquoise","LOC119692988"
"turquoise","LOC105387485"
"turquoise","LOC105389451"
"turquoise","LOC105392063"
"turquoise","LOC105394168"
"turquoise","LOC105394183"
"turquoise","LOC105381670"
"turquoise","LOC105381642"
"turquoise","LOC105384445"
"turquoise","LOC105384447"
"turquoise","LOC119692996"
"turquoise","LOC105393369"
"turquoise","LOC119693065"
"turquoise","LOC105385619"
"turquoise","LOC105390365"
"turquoise","LOC105386699"
"turquoise","LOC105392745"
"turquoise","LOC105388810"
"turquoise","LOC105388808"
"turquoise","LOC105388806"
"turquoise","LOC105388805"
"turquoise","LOC105388821"
"turquoise","LOC105388804"
"turquoise","LOC105393506"
"turquoise","LOC105388902"
"turquoise","LOC105396513"
"turquoise","LOC119691546"
"turquoise","LOC105390723"
"turquoise","LOC105384464"
"turquoise","LOC105394119"
"turquoise","LOC105388890"
"turquoise","LOC105397361"
"turquoise","LOC125488980"
"turquoise","LOC105387058"
"turquoise","LOC105393136"
"turquoise","LOC105391051"
"turquoise","LOC105387389"
"turquoise","LOC105393885"
"turquoise","LOC105382283"
"turquoise","LOC125489016"
"turquoise","LOC105382879"
"turquoise","LOC105388709"
"turquoise","LOC105392581"
"turquoise","LOC105392584"
"turquoise","LOC105386605"
"turquoise","LOC105386599"
"turquoise","LOC105386587"
"turquoise","LOC105385894"
"turquoise","LOC125488947"
"turquoise","LOC125489005"
"turquoise","LOC105391781"
"turquoise","LOC105390608"
"turquoise","LOC105382913"
"turquoise","LOC105382911"
"turquoise","LOC105382927"
"turquoise","LOC105383123"
"turquoise","LOC105390140"
"turquoise","LOC119693698"
"turquoise","LOC105388814"
"turquoise","LOC105389620"
"turquoise","LOC105389619"
"turquoise","LOC105382029"
"turquoise","LOC105382028"
"turquoise","LOC105387245"
"turquoise","LOC105387246"
"turquoise","LOC119693640"
"turquoise","LOC125489056"
"turquoise","LOC105381566"
"turquoise","LOC105392479"
"turquoise","LOC105383720"
"turquoise","LOC105396139"
"turquoise","LOC105386668"
"turquoise","LOC105394060"
"turquoise","LOC105395407"
"turquoise","LOC105391204"
"turquoise","LOC105391274"
"turquoise","LOC105385482"
"turquoise","LOC105385027"
"turquoise","LOC105382882"
"turquoise","LOC119693309"
"turquoise","LOC105393957"
"turquoise","LOC105393646"
"turquoise","LOC125489198"
"turquoise","LOC105380610"
"turquoise","LOC105388696"
"turquoise","LOC105387687"
"turquoise","LOC105385597"
"turquoise","LOC105394778"
"turquoise","LOC125489229"
"turquoise","LOC105390783"
"turquoise","LOC105389955"
"turquoise","LOC105386366"
"turquoise","LOC105385812"
"turquoise","LOC105390240"
"turquoise","LOC105382968"
"turquoise","LOC105380288"
"turquoise","LOC105388702"
"turquoise","LOC105383248"
"turquoise","LOC105383252"
"turquoise","LOC105382805"
"turquoise","LOC105386683"
"turquoise","LOC105389880"
"turquoise","LOC105385200"
"turquoise","LOC105384685"
"turquoise","LOC105390377"
"turquoise","LOC105381324"
"turquoise","LOC125489304"
"turquoise","LOC105393380"
"turquoise","LOC105395625"
"turquoise","LOC105392121"
"turquoise","LOC105392122"
"turquoise","LOC105391471"
"turquoise","LOC119692223"
"turquoise","LOC119692273"
"turquoise","LOC105390863"
"turquoise","LOC125489363"
"turquoise","LOC119692263"
"turquoise","LOC105389104"
"turquoise","LOC105389105"
"turquoise","LOC105395465"
"turquoise","LOC105392518"
"turquoise","LOC105392515"
"turquoise","LOC105385536"
"turquoise","LOC105398039"
"turquoise","LOC105397976"
"turquoise","LOC105397985"
"turquoise","LOC105398015"
"turquoise","LOC105398017"
"turquoise","LOC105388980"
"turquoise","LOC105388973"
"turquoise","LOC105391071"
"turquoise","LOC105391055"
"turquoise","LOC119692276"
"turquoise","LOC105391233"
"turquoise","LOC105391219"
"turquoise","LOC105387602"
"turquoise","LOC105382244"
"turquoise","LOC105390008"
"turquoise","LOC105387191"
"turquoise","LOC105387198"
"turquoise","LOC105385235"
"turquoise","LOC105385242"
"turquoise","LOC105389319"
"turquoise","LOC105389332"
"turquoise","LOC125489361"
"turquoise","LOC105382746"
"turquoise","LOC105385957"
"turquoise","LOC125489411"
"turquoise","LOC105392107"
"turquoise","LOC105385858"
"turquoise","LOC119694354"
"turquoise","LOC105386677"
"turquoise","LOC105391177"
"turquoise","LOC105383789"
"turquoise","LOC105385799"
"turquoise","LOC105387369"
"turquoise","LOC105385781"
"turquoise","LOC119694319"
"turquoise","LOC125489474"
"turquoise","LOC105397567"
"turquoise","LOC105398186"
"turquoise","LOC119694661"
"turquoise","LOC105384520"
"turquoise","LOC105384521"
"turquoise","LOC105383471"
"turquoise","LOC105383474"
"turquoise","LOC105391924"
"turquoise","LOC105391920"
"turquoise","LOC119694369"
"turquoise","LOC105391928"
"turquoise","LOC105381382"
"turquoise","LOC125488432"
"turquoise","LOC105391857"
"turquoise","LOC105398655"
"turquoise","LOC125489561"
"turquoise","LOC105380718"
"turquoise","LOC105380715"
"turquoise","LOC105380713"
"turquoise","LOC105386555"
"turquoise","LOC105386547"
"turquoise","LOC119691198"
"turquoise","LOC125489604"
"turquoise","LOC105386142"
"turquoise","LOC105386120"
"turquoise","LOC105386119"
"turquoise","LOC125489642"
"turquoise","LOC119691244"
"turquoise","LOC105398381"
"turquoise","LOC105392596"
"turquoise","LOC105398408"
"turquoise","LOC105383805"
"turquoise","LOC105383827"
"turquoise","LOC105391235"
"turquoise","LOC119691170"
"turquoise","LOC105386739"
"turquoise","LOC119691256"
"turquoise","LOC125489618"
"turquoise","LOC105381098"
"turquoise","LOC119691177"
"turquoise","LOC105381436"
"turquoise","LOC119691252"
"turquoise","LOC105390675"
"turquoise","LOC105392814"
"turquoise","LOC105390341"
"turquoise","LOC105382474"
"turquoise","LOC105389059"
"turquoise","LOC119691312"
"turquoise","LOC105388326"
"turquoise","LOC125489652"
"turquoise","LOC105398485"
"turquoise","LOC125489603"
"turquoise","LOC105388500"
"turquoise","LOC119691225"
"turquoise","LOC119691224"
"turquoise","LOC105383408"
"turquoise","LOC105391570"
"turquoise","LOC105382258"
"turquoise","LOC105382228"
"turquoise","LOC125489687"
"turquoise","LOC119693867"
"turquoise","LOC105380479"
"turquoise","LOC125489715"
"turquoise","LOC105394133"
"turquoise","LOC105390928"
"turquoise","LOC105394221"
"turquoise","LOC105384302"
"turquoise","LOC105386843"
"turquoise","LOC105390058"
"turquoise","LOC105393551"
"turquoise","LOC105386907"
"turquoise","LOC105386867"
"turquoise","LOC105386881"
"turquoise","LOC119693839"
"turquoise","LOC125489658"
"turquoise","LOC105384017"
"turquoise","LOC105387882"
"turquoise","LOC105387991"
"turquoise","LOC105388036"
"turquoise","LOC105381873"
"turquoise","LOC105395701"
"turquoise","LOC105381868"
"turquoise","LOC125488434"
"turquoise","LOC105381735"
"turquoise","LOC105393209"
"turquoise","LOC119691537"
"turquoise","LOC105398528"
"turquoise","LOC105398475"
"turquoise","LOC105398476"
"turquoise","LOC105398479"
"turquoise","LOC105398482"
"turquoise","LOC105389779"
"turquoise","LOC105390281"
"turquoise","LOC105392880"
"turquoise","LOC105384320"
"turquoise","LOC105384319"
"turquoise","LOC105384317"
"turquoise","LOC105391087"
"turquoise","LOC105396433"
"turquoise","LOC105384469"
"turquoise","LOC119691481"
"turquoise","LOC119691539"
"turquoise","LOC125489792"
"turquoise","LOC105394666"
"turquoise","LOC105394667"
"turquoise","LOC105393309"
"turquoise","LOC119691419"
"turquoise","LOC105380411"
"turquoise","LOC105396949"
"turquoise","LOC105385032"
"turquoise","LOC105385043"
"turquoise","LOC119692183"
"turquoise","LOC105390633"
"turquoise","LOC105385949"
"turquoise","LOC105380219"
"turquoise","LOC125489745"
"turquoise","LOC105388523"
"turquoise","LOC105394384"
"turquoise","LOC125489819"
"turquoise","LOC105383185"
"turquoise","LOC105387711"
"turquoise","LOC125488534"
"turquoise","LOC105380844"
"turquoise","LOC105385089"
"turquoise","LOC119692749"
"turquoise","LOC105380916"
"turquoise","LOC119692725"
"turquoise","LOC119692712"
"turquoise","LOC119692661"
"turquoise","LOC105383849"
"turquoise","LOC105397193"
"turquoise","LOC105398673"
"turquoise","LOC105390307"
"turquoise","LOC105380070"
"turquoise","LOC105380062"
"turquoise","LOC105380060"
"turquoise","LOC105384358"
"turquoise","LOC105388251"
"turquoise","LOC125489873"
"turquoise","LOC105387994"
"turquoise","LOC105386532"
"turquoise","LOC105381378"
"turquoise","LOC105386509"
"turquoise","LOC105386511"
"turquoise","LOC105386518"
"turquoise","LOC105381417"
"turquoise","LOC125489871"
"turquoise","LOC125489872"
"turquoise","LOC125489836"
"turquoise","LOC105394043"
"turquoise","LOC119692733"
"turquoise","LOC119692732"
"turquoise","LOC105380858"
"turquoise","LOC119692714"
"turquoise","LOC125490001"
"turquoise","LOC105384028"
"turquoise","LOC119690631"
"turquoise","LOC105394712"
"turquoise","LOC105392276"
"turquoise","LOC105380343"
"turquoise","LOC125489947"
"turquoise","LOC105391992"
"turquoise","LOC119690614"
"turquoise","LOC125489976"
"turquoise","LOC105382827"
"turquoise","LOC105391432"
"turquoise","LOC105390327"
"turquoise","LOC119690516"
"turquoise","LOC105398088"
"turquoise","LOC105393161"
"turquoise","LOC105398101"
"turquoise","LOC105398110"
"turquoise","LOC105382971"
"turquoise","LOC125489965"
"turquoise","LOC105383324"
"turquoise","LOC119690624"
"turquoise","LOC119691140"
"turquoise","LOC105391411"
"turquoise","LOC119690564"
"turquoise","LOC105390971"
"turquoise","LOC105388627"
"turquoise","LOC119690607"
"turquoise","LOC105380970"
"turquoise","LOC105389726"
"turquoise","LOC125490112"
"turquoise","LOC105392662"
"turquoise","LOC119691747"
"turquoise","LOC105391145"
"turquoise","LOC105388872"
"turquoise","LOC105383563"
"turquoise","LOC105380985"
"turquoise","LOC125490118"
"turquoise","LOC105384650"
"turquoise","LOC105384680"
"turquoise","LOC105384663"
"turquoise","LOC105380782"
"turquoise","LOC105395837"
"turquoise","LOC105392991"
"turquoise","LOC105381034"
"turquoise","LOC105381033"
"turquoise","LOC105394773"
"turquoise","LOC119693156"
"turquoise","LOC105387067"
"turquoise","LOC105382792"
"turquoise","LOC119693105"
"turquoise","LOC105382788"
"turquoise","LOC105382785"
"turquoise","LOC119693116"
"turquoise","LOC119693112"
"turquoise","LOC119693120"
"turquoise","LOC105392857"
"turquoise","LOC105385401"
"turquoise","LOC125490235"
"turquoise","LOC105387036"
"turquoise","LOC105394801"
"turquoise","LOC105385610"
"turquoise","LOC105382126"
"turquoise","LOC105382116"
"turquoise","LOC119690398"
"turquoise","LOC105389845"
"turquoise","LOC105389849"
"turquoise","LOC119690485"
"turquoise","LOC119690470"
"turquoise","LOC105381317"
"turquoise","LOC105381326"
"turquoise","LOC105384158"
"turquoise","LOC105384157"
"turquoise","LOC119690402"
"turquoise","LOC119694908"
"turquoise","LOC105395010"
"turquoise","LOC105383046"
"turquoise","LOC105383027"
"turquoise","LOC105383028"
"turquoise","LOC105382735"
"turquoise","LOC105382769"
"turquoise","LOC119690403"
"turquoise","LOC105394177"
"turquoise","LOC105392434"
"turquoise","LOC105392440"
"turquoise","LOC105392546"
"turquoise","LOC105382831"
"turquoise","LOC105382815"
"turquoise","LOC105382745"
"turquoise","LOC105383349"
"turquoise","LOC105391174"
"turquoise","LOC105384413"
"turquoise","LOC105388427"
"turquoise","LOC105391850"
"turquoise","LOC105382186"
"turquoise","LOC105387824"
"turquoise","LOC105387825"
"turquoise","LOC105389220"
"turquoise","LOC105381827"
"turquoise","LOC105381829"
"turquoise","LOC119690472"
"turquoise","LOC119692490"
"turquoise","LOC105393225"
"turquoise","LOC125490406"
"turquoise","LOC105389053"
"turquoise","LOC105386116"
"turquoise","LOC105384272"
"turquoise","LOC105388951"
"turquoise","LOC105388960"
"turquoise","LOC105383762"
"turquoise","LOC105382855"
"turquoise","LOC125488590"
"turquoise","LOC105382819"
"turquoise","LOC105382820"
"turquoise","LOC105386961"
"turquoise","LOC105392539"
"turquoise","LOC105382016"
"turquoise","LOC105386964"
"turquoise","LOC105386706"
"turquoise","LOC105383941"
"turquoise","LOC105383946"
"turquoise","LOC105392138"
"turquoise","LOC125490396"
"turquoise","LOC105391316"
"turquoise","LOC119692565"
"turquoise","LOC105391306"
"turquoise","LOC105394757"
"turquoise","LOC125490360"
"turquoise","LOC105385145"
"turquoise","LOC105395529"
"turquoise","LOC105380628"
"turquoise","LOC119692613"
"turquoise","LOC125490511"
"turquoise","LOC105392204"
"turquoise","LOC105392203"
"turquoise","LOC105392220"
"turquoise","LOC125490461"
"turquoise","LOC105395568"
"turquoise","LOC105391146"
"turquoise","LOC119691944"
"turquoise","LOC125490496"
"turquoise","LOC125488491"
"turquoise","LOC105382049"
"turquoise","LOC105382054"
"turquoise","LOC105390102"
"turquoise","LOC105394224"
"turquoise","LOC105383599"
"turquoise","LOC105392603"
"turquoise","LOC105386269"
"turquoise","LOC105386267"
"turquoise","LOC105386265"
"turquoise","LOC125490489"
"turquoise","LOC105398811"
"turquoise","LOC125490499"
"turquoise","LOC119691116"
"turquoise","LOC105384218"
"turquoise","LOC105381952"
"turquoise","LOC105393351"
"turquoise","LOC105393345"
"turquoise","LOC105393871"
"turquoise","LOC125490618"
"turquoise","LOC119691001"
"turquoise","LOC105386887"
"turquoise","LOC105381852"
"turquoise","LOC105387445"
"turquoise","LOC105380798"
"turquoise","LOC105398662"
"turquoise","LOC105398695"
"turquoise","LOC105398696"
"turquoise","LOC119691018"
"turquoise","LOC119691073"
"turquoise","LOC105382346"
"turquoise","LOC105382409"
"turquoise","LOC105382329"
"turquoise","LOC105397179"
"turquoise","LOC119691094"
"turquoise","LOC125490562"
"turquoise","LOC105393632"
"turquoise","LOC125490561"
"turquoise","LOC125490586"
"turquoise","LOC105398440"
"turquoise","LOC105398439"
"turquoise","LOC105380394"
"turquoise","LOC105386988"
"turquoise","LOC105392945"
"turquoise","LOC105382359"
"turquoise","LOC105381010"
"turquoise","LOC125490697"
"turquoise","LOC105390190"
"turquoise","LOC105384501"
"turquoise","LOC105388269"
"turquoise","LOC105385506"
"turquoise","LOC119692160"
"turquoise","LOC105380397"
"turquoise","LOC105383433"
"turquoise","LOC105395639"
"turquoise","LOC105391354"
"turquoise","LOC105391680"
"turquoise","LOC105387749"
"turquoise","LOC125490674"
"turquoise","LOC119692175"
"turquoise","LOC105388675"
"turquoise","LOC105388674"
"turquoise","LOC105388662"
"turquoise","LOC105382560"
"turquoise","LOC119691847"
"turquoise","LOC105390876"
"turquoise","LOC105381255"
"turquoise","LOC105392710"
"turquoise","LOC105392259"
"turquoise","LOC105383512"
"turquoise","LOC105383514"
"turquoise","LOC105382665"
"turquoise","LOC105387765"
"turquoise","LOC105387766"
"turquoise","LOC105387777"
"turquoise","LOC105387778"
"turquoise","LOC105388154"
"turquoise","LOC119691793"
"turquoise","LOC105397427"
"turquoise","LOC105395449"
"turquoise","LOC105390678"
"turquoise","LOC105392870"
"turquoise","LOC105390680"
"turquoise","LOC105383543"
"turquoise","LOC105385518"
"turquoise","LOC119691846"
"turquoise","LOC105387683"
"turquoise","LOC119691988"
"turquoise","LOC105389121"
"turquoise","LOC105381073"
"turquoise","LOC105382062"
"turquoise","LOC105391436"
"turquoise","LOC105394243"
"turquoise","LOC105394244"
"turquoise","LOC105394365"
"turquoise","LOC105380980"
"turquoise","LOC105391626"
"turquoise","LOC125490887"
"turquoise","LOC105398751"
"turquoise","LOC119694259"
"turquoise","LOC105383607"
"turquoise","LOC125490969"
"turquoise","LOC105388937"
"turquoise","LOC105380182"
"turquoise","LOC105385314"
"turquoise","LOC105384771"
"turquoise","LOC119693483"
"turquoise","LOC105396120"
"turquoise","LOC119693954"
"turquoise","LOC125490976"
"turquoise","LOC105393481"
"turquoise","LOC105381705"
"turquoise","LOC105393930"
"turquoise","LOC105384738"
"turquoise","LOC105395914"
"turquoise","LOC125491024"
"turquoise","LOC125491023"
"turquoise","LOC105387642"
"turquoise","LOC105398710"
"turquoise","LOC125488474"
"turquoise","LOC105398128"
"turquoise","LOC105398123"
"turquoise","LOC105398115"
"turquoise","LOC105391730"
"turquoise","LOC105387211"
"turquoise","LOC105395517"
"turquoise","LOC105397331"
"turquoise","LOC105383961"
"turquoise","LOC105392432"
"turquoise","LOC105391105"
"turquoise","LOC105391102"
"turquoise","LOC119694719"
"turquoise","LOC105385493"
"turquoise","LOC105392380"
"turquoise","LOC105398301"
"turquoise","LOC105383169"
"turquoise","LOC105398311"
"turquoise","LOC105390368"
"turquoise","LOC119694709"
"turquoise","LOC125491086"
"turquoise","LOC105393438"
